fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
4,4.1.3,111,LA PAZ,Camacho,Puerto Acosta,False,12,col_01,10350,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
5,4.1.3,111,LA PAZ,Camacho,Moco Moco,False,12,col_01,12658,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
6,4.1.3,111,LA PAZ,Camacho,Puerto Carabuco,False,12,col_01,9756,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
7,4.1.3,111,LA PAZ,Muñecas,Chuma,False,12,col_01,9888,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
8,4.1.3,111,LA PAZ,Larecaja,Sorata,False,12,col_01,18043,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
9,4.1.3,111,LA PAZ,Larecaja,Guanay,False,12,col_01,13711,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
10,4.1.3,111,LA PAZ,Franz Tamayo,Apolo,False,12,col_01,17423,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
11,4.1.3,111,LA PAZ,Ingavi,Viacha,False,12,col_01,85172,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
12,4.1.3,111,LA PAZ,Ingavi,Guaqui,False,12,col_01,7728,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
13,4.1.3,111,LA PAZ,Ingavi,San Andres de Machaca,False,12,col_01,5983,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
14,4.1.3,111,LA PAZ,Loayza,Luribay,False,12,col_01,10196,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
15,4.1.3,111,LA PAZ,Loayza,Sapahaqui,False,12,col_01,10185,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
16,4.1.3,111,LA PAZ,Inquisivi,Inquisivi,False,12,col_01,12401,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
17,4.1.3,111,LA PAZ,Inquisivi,Quime,False,12,col_01,8504,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
18,4.1.3,111,LA PAZ,Inquisivi,Colquiri,False,12,col_01,17202,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
19,4.1.3,111,LA PAZ,Sud Yungas,Chulumani,False,12,col_01,17501,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
20,4.1.3,111,LA PAZ,Sud Yungas,Palos Blancos,False,12,col_01,24074,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
21,4.1.3,111,LA PAZ,Sud Yungas,La Asunta,False,12,col_01,39616,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
