identidad,cuadro_origen,pagina_pdf,entidad,calculado,publicado,diferencia,detalle
total nacional de 5.3.2.1 = 9.1.1 (pendientes_inicio),5.3.2.1,364,SENTENCIA PENAL,36177.0,27115.0,9062.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (ingresadas),5.3.2.1,364,SENTENCIA PENAL,18205.0,12377.0,5828.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (atendidas),5.3.2.1,364,SENTENCIA PENAL,54382.0,39492.0,14890.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (pendientes_fin),5.3.2.1,364,SENTENCIA PENAL,37534.0,26755.0,10779.0,cruce entre capítulos
total nacional de 6.3.2.1 = 9.1.5 (pendientes_inicio),6.3.2.1,627,SENTENCIA PENAL,11738.0,8319.0,3419.0,cruce entre capítulos
total nacional de 6.3.2.1 = 9.1.5 (ingresadas),6.3.2.1,627,SENTENCIA PENAL,8050.0,5501.0,2549.0,cruce entre capítulos
total nacional de 6.3.2.1 = 9.1.5 (atendidas),6.3.2.1,627,SENTENCIA PENAL,19788.0,13820.0,5968.0,cruce entre capítulos
total nacional de 6.3.2.1 = 9.1.5 (pendientes_fin),6.3.2.1,627,SENTENCIA PENAL,14754.0,10100.0,4654.0,cruce entre capítulos
total nacional de 5.3.3.1 = 9.1.1 (resueltas),5.3.3.1,377,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,177.0,203.0,-26.0,cruce entre capítulos
total nacional de 5.3.3.1 = 9.1.1 (resueltas),5.3.3.1,377,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,1016.0,1060.0,-44.0,cruce entre capítulos
total nacional de 5.3.3.1 = 9.1.1 (resueltas),5.3.3.1,377,TRIBUNAL DE SENTENCIA PENAL,883.0,1189.0,-306.0,cruce entre capítulos
total nacional de 6.3.3.1 = 9.1.5 (resueltas),6.3.3.1,640,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,20.0,28.0,-8.0,cruce entre capítulos
total nacional de 6.3.3.1 = 9.1.5 (resueltas),6.3.3.1,640,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,646.0,673.0,-27.0,cruce entre capítulos
total nacional de 6.3.3.1 = 9.1.5 (resueltas),6.3.3.1,640,TRIBUNAL DE SENTENCIA PENAL,560.0,622.0,-62.0,cruce entre capítulos
num_juzgados de 5.1.1.1 = 9.1.1,5.1.1.1,131,PÚBLICO CIVIL Y COMERCIAL,153.0,163.0,-10.0,cruce entre capítulos
num_juzgados de 5.1.2.1 = 9.1.1,5.1.2.1,187,PÚBLICO DE FAMILIA,99.0,106.0,-7.0,cruce entre capítulos
num_juzgados de 5.2.2.1 = 9.1.1,5.2.2.1,335,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,26.0,13.0,13.0,cruce entre capítulos
num_juzgados de 5.3.1.1 = 9.1.1,5.3.1.1,350,INSTRUCCIÓN ANTICORRUPCIÓN + INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER + INSTRUCCIÓN PENAL,108.0,112.0,-4.0,cruce entre capítulos
num_juzgados de 5.3.1.2 = 9.1.1,5.3.1.2,353,INSTRUCCIÓN ANTICORRUPCIÓN + INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER + INSTRUCCIÓN PENAL,108.0,112.0,-4.0,cruce entre capítulos
num_juzgados de 5.3.2.1 = 9.1.1,5.3.2.1,364,SENTENCIA ANTICORRUPCIÓN + SENTENCIA PENAL,118.0,94.0,24.0,cruce entre capítulos
