pagina_pdf,cuadro_id,titulo,primeras_lineas,tipo,capitulo,variante_etiqueta,seccion,orden_pagina,paginas_del_cuadro,rango_paginas,n_lineas,n_lineas_datos
77,3.1.4.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,COACTIVOS FISCALES 0 0 0 0 0 0 ¶ CONTENCIOSO TRIBUTARIO 0 0 0 0 0 0 ¶ CONTENCIOSO 49 3 0 0 0 52,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,3,3,75-77,25,10
78,3.1.4.3,RECURSO DE CASACIÓN POR TIPO DE PROCESO / Por: Distritos / Según: Tipo de Proceso / NÚMERO DE CONTENCIOSO CONTENCIOSO,SUCRE 1 0 2 8 1 0 11 ¶ LA PAZ 3 4 40 3 0 0 47 ¶ COCHABAMBA 2 0 3 4 0 0 7,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,1,1,78,20,10
79,3.1.4.4,ACCIONES CONSTITUCIONALES RECIBIDOS / Por: Distritos / Según: Forma de Finalización de Competencia / DOS O MAS,SUCRE 1 11 0 3 0 3 1 0 7 4 ¶ LA PAZ 3 50 5 17 0 7 1 1 31 19 ¶ COCHABAMBA 2 9 0 3 0 1 2 0 6 3,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,1,1,79,24,10
80,3.1.5.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 139 0 297 436 241 195 ¶ REINCORPORACIÓN 15 0 93 108 56 52 ¶ LAUDO ARBITRAL 0 0 1 1 1 0,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,1,5,80-84,44,28
81,3.1.5.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 682 0 545 1227 907 320 ¶ REINCORPORACIÓN 81 0 80 161 125 36 ¶ LAUDO ARBITRAL 5 0 1 6 4 2,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,2,5,80-84,44,28
82,3.1.5.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 167 0 100 267 111 156 ¶ REINCORPORACIÓN 21 0 7 28 14 14 ¶ LAUDO ARBITRAL 0 0 1 1 0 1,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,3,5,80-84,44,28
83,3.1.5.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 124 0 958 1082 857 225 ¶ REINCORPORACIÓN 5 0 35 40 32 8 ¶ LAUDO ARBITRAL 0 0 2 2 2 0,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,4,5,80-84,44,28
84,3.1.5.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 287 0 318 605 300 305 ¶ REINCORPORACIÓN 0 0 2 2 0 2 ¶ LAUDO ARBITRAL 0 0 2 2 1 1,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,5,5,80-84,44,28
85,3.1.5.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 127 15 0 0 4 95 241 ¶ REINCORPORACIÓN 40 5 0 0 1 10 56 ¶ LAUDO ARBITRAL 0 0 0 0 0 1 1,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,1,5,85-89,43,28
86,3.1.5.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS 529 349 0 0 13 16 907 ¶ REINCORPORACIÓN 70 51 0 0 4 0 125 ¶ LAUDO ARBITRAL 4 0 0 0 0 0 4,cuadro,3,Cuadro Nro.,Salas en Materia Social de los Tribunales Departamentales de Justicia,2,5,85-89,43,28
