firma,cuadros,paginas,n_paginas,pagina_referencia,n_columnas,columna,encabezado_pdf,titulo_pagina
d7b03fa397,5.1.3.1,239-239,1,239,15,3,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / ESTUDIOS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,4,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / VACACIONES,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,5,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / DEPORTE,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,6,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / RESIDENCIA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,7,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / SALUD,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,8,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / VISITA FAMILIAR,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,9,PERMISOS AUTORIZADOS SEGÚN LOS MOTIVOS DEL VIAJE / OTROS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,10,PERMISOS AUTORIZADOS SEGÚN LAS PERSONAS / CON LAS QUE EL MENOR REALIZA EL VIAJE / SOLO,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,11,PERMISOS AUTORIZADOS SEGÚN LAS PERSONAS / CON LAS QUE EL MENOR REALIZA EL VIAJE / CON PADRE / EL,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,12,PERMISOS AUTORIZADOS SEGÚN LAS PERSONAS / CON LAS QUE EL MENOR REALIZA EL VIAJE / CON MADRE / LA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,13,PERMISOS AUTORIZADOS SEGÚN LAS PERSONAS / CON LAS QUE EL MENOR REALIZA EL VIAJE / CON MADRE SOLTERA / LA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,14,PERMISOS AUTORIZADOS SEGÚN LAS PERSONAS / CON LAS QUE EL MENOR REALIZA EL VIAJE / OTROS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,15,TOTAL PERMISOS AUTORIZADOS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,1,FORMA DE INGRESO / PENDIENTES AL / INICIAR LA / GESTIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,2,FORMA DE INGRESO / RECIBIDAS POR / EXCUSA O / RECUSACIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,3,FORMA DE INGRESO / NUEVAS / INGRESADAS EN / LA GESTIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,4,TOTAL DE CAUSAS / ATENDIDAS EN LA / GESTIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,5,CAUSAS / RESUELTAS / GESTIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
f3cd0599a4,5.1.3.2,240-250,11,240,6,6,CAUSAS QUE / QUEDARON / PENDIENTES PARA / LA PROXIMA / GESTIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,1,SENTENCIA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,2,EXCUSA RECUSACIÓN / O,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,3,FORMAS DE FINALIZACIÓN DE COMPETENCIA / CONCILIACIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,4,FORMAS DE FINALIZACIÓN DE COMPETENCIA / DESISTIMIENTO,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,5,FORMAS DE FINALIZACIÓN DE COMPETENCIA / DE LA / RETIRO DEMANDA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,6,FORMAS DE FINALIZACIÓN DE COMPETENCIA / DE / PERENCIÓN INSTANCIA,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,7,FORMAS DE FINALIZACIÓN DE COMPETENCIA / ACUMULACIÓN,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,8,RECHAZADAS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,9,ACUERDO TRANSACCIONAL,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,10,OTROS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
b1f83a93ef,5.1.3.3,251-261,11,251,11,11,TOTAL / RESUELTAS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
fb895ae316,5.1.3.4,262-272,9,262,9,1,RECURSOS DE / APELACIÓN EN / EFECTO / SUSPENSIVO / NUEVOS / INTERPUESTOS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
fb895ae316,5.1.3.4,262-272,9,262,9,2,SEGÚN LA FORMA EN QUE FUERON RESUELTOS POR LA INSTANCIA SUPERIOR / CONFIRMADAS TOTALMENTE,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
